"","GSM490136","GSM490137"
"ENSG00000000003",8.85667291246241,8.24376042943487
"ENSG00000000419",9.66211376729123,9.59788519985357
"ENSG00000000457",7.56069436127864,7.30374288414666
"ENSG00000000938",6.73941987657848,6.95316393670619
"ENSG00000000971",7.53969507956437,7.4718144822993
"ENSG00000001036",8.78538426496621,8.74775560992477
"ENSG00000001561",6.23536572259958,6.39587501699429
"ENSG00000001617",7.19073065453239,7.36002702535841
"ENSG00000001630",6.85562722486512,6.68784837817517
"ENSG00000002330",7.43365244137601,7.32938653010652
"ENSG00000002549",9.24583998862045,8.91903561591442
"ENSG00000002586",9.7679690349795,10.0676454834109
"ENSG00000002726",11.1165941583041,11.6164987774018
"ENSG00000002834",11.9926043586726,11.8326982089174
"ENSG00000003056",8.8698215546679,8.9139762866174
"ENSG00000003137",7.53374127441332,8.13443990643686
"ENSG00000003147",8.94878737269477,9.14071139416862
"ENSG00000003393",8.25019548772738,8.12125432273535
"ENSG00000003402",10.5936199126417,10.4942721231468
"ENSG00000003436",11.671690340914,11.4867025757344
"ENSG00000003756",10.7701914781425,11.0925510489155
"ENSG00000003987",6.36551940866537,6.45542701753685
"ENSG00000004059",8.22832134925124,8.1275914533109
"ENSG00000004139",6.02193281508753,6.11712775016225
"ENSG00000004142",6.4041867644704,6.43942393145721
"ENSG00000004455",9.78131173215663,9.71365747095157
"ENSG00000004478",8.43524111894627,8.2580904775354
"ENSG00000004487",8.39292979775004,8.47285670566586
"ENSG00000004534",8.42621785232505,8.67048826727182
"ENSG00000004776",7.25603290326185,8.71620492330773
"ENSG00000004777",6.35615767486825,6.56007079775613
"ENSG00000004779",11.0378135968205,10.9521460915812
"ENSG00000004799",11.1486389768469,10.8776430624707
"ENSG00000004838",6.09132785313368,6.0500671968591
"ENSG00000004864",7.77842338530278,7.57030250282834
"ENSG00000004897",6.20013561099885,6.21136879036014
"ENSG00000004948",6.20124864364188,6.29531022979767
"ENSG00000004961",6.33629447783903,6.25357892281435
"ENSG00000005007",8.56352076352806,8.58139407266844
"ENSG00000005022",12.3489626929604,12.3456550168509
"ENSG00000005059",9.25239870625841,8.92964997997148
"ENSG00000005073",6.1433925702242,6.06827972916413
"ENSG00000005075",6.23755871821999,6.29787278695714
"ENSG00000005108",6.83086518060404,6.36725020062518
"ENSG00000005156",7.08438085079243,7.03057151193427
"ENSG00000005175",7.43518814613807,6.93183587640638
